year_month,total,male,female,minors,unacc_minors,decisions,granted,rejected,dublin,others,avg_time
2012-08,4356,2712,1644,1537,346,2704,883,797,517,507,94.97522189349112
2012-09,4916,3009,1907,1707,392,2896,1337,957,259,343,102.73411602209944
2012-10,5512,3434,2078,1860,454,3757,1754,1036,567,400,94.6768698429598
2012-11,4567,2845,1722,1439,357,3829,1742,926,709,452,98.49438495690781
2012-12,4090,2562,1528,1320,344,3605,1594,915,698,398,105.13592233009709
2013-01,3802,2375,1427,1122,264,2703,1070,683,574,376,114.09433962264151
2013-02,2970,1883,1087,861,190,3884,1747,878,829,430,120.26184346035015
2013-03,2964,1907,1057,842,205,4045,1774,920,953,398,119.32954264524103
2013-04,3061,1940,1121,918,203,4672,1980,1184,1046,462,125.36279965753425
2013-05,3084,1962,1122,900,238,4358,2036,1237,705,380,139.26089949518126
2013-06,2978,1864,1114,934,226,3839,1737,1124,685,293,148.73091951028914
2013-07,4061,2553,1508,1305,302,3553,1519,1095,575,364,132.2541514213341
2013-08,4798,3039,1759,1553,383,3457,1608,946,604,299,121.9791726930865
2013-09,7767,4884,2883,2574,469,4039,2170,921,632,316,115.30378806635306
2013-10,7908,5147,2761,2362,572,5370,3139,1045,840,346,107.4901303538175
2013-11,5535,3662,1873,1569,409,5434,3357,1064,650,363,106.44976076555024
2013-12,5331,3547,1784,1512,391,4516,2361,951,937,267,118.64348981399469
2014-01,4451,3006,1445,1199,301,3920,2121,653,799,347,113.2826530612245
2014-02,4109,2750,1359,1168,309,4758,3043,733,567,415,117.63787305590584
2014-03,4406,2984,1422,1126,304,4819,2939,719,723,438,128.91533513177006
2014-04,4855,3309,1546,1282,382,4251,2437,783,701,330,142.89720065866854
2014-05,6019,4087,1932,1573,457,3810,2204,654,565,387,135.48976377952755
2014-06,8073,5461,2612,2184,599,4438,2565,907,522,444,151.44231635872015
2014-07,9385,6384,3001,2584,813,4619,2890,765,458,506,128.55141805585626
2014-08,8877,5931,2946,2529,831,3734,2128,630,645,331,138.85404392072843
2014-09,9976,6643,3333,3087,916,4714,2775,808,711,420,145.98769622401358
2014-10,8184,5551,2633,2490,856,5501,3140,1044,827,490,154.75513542992184
2014-11,6009,4076,1933,1663,562,4461,2470,798,766,427,161.88343420757678
2014-12,6957,4635,2322,2223,719,4478,2508,907,614,449,174.253684680661
2015-01,4896,3319,1577,1483,543,3110,1306,586,760,458,158.1945337620579
2015-02,4040,2673,1367,1328,460,4346,2343,754,615,634,180.1134376438104
2015-03,4117,2732,1385,1294,447,4781,2456,890,839,596,187.0792721188036
2015-04,3917,2667,1250,1162,445,4834,2622,852,724,636,201.37587918907738
2015-05,5376,3757,1619,1950,1133,4232,2202,854,625,551,218.0687618147448
2015-06,6619,4621,1998,2552,1426,4876,2823,839,684,530,239.30496308449548
2015-07,8065,5712,2353,3210,1880,4903,3045,746,493,619,246.76993677340403
2015-08,11746,8484,3262,5134,2959,4086,2562,549,440,535,248.3903573176701
2015-09,24307,17445,6862,9740,4712,5522,3615,644,575,688,268.36164433176384
2015-10,39196,28677,10519,17495,9339,6428,3921,887,646,974,256.2882700684505
2015-11,36726,25383,11343,18155,8808,5776,2973,894,537,1372,240.8843490304709
2015-12,13872,9258,4614,6881,3217,5908,2763,1029,359,1757,247.4009817197021
2016-01,4168,2537,1631,1798,619,4868,1846,754,595,1673,236.71322925225965
2016-02,2731,1578,1153,1063,174,7339,2654,1026,1572,2087,249.24880773947405
2016-03,2246,1309,937,784,107,7662,3039,1374,1316,1933,290.9622813886714
2016-04,2047,1289,758,700,137,7855,3401,1553,1497,1404,310.8035646085296
2016-05,2065,1241,824,691,154,7765,3862,1481,1155,1267,324.6123631680618
2016-06,2104,1289,815,733,155,9263,5743,1413,1019,1088,318.3401705710893
2016-07,2135,1325,810,775,174,9652,6893,1066,783,910,317.26844177372567
2016-08,2374,1390,984,877,145,7560,4600,1180,859,921,323.9792328042328
2016-09,2408,1437,971,957,185,9723,5957,2378,539,849,361.4596318008845
2016-10,2436,1462,974,941,132,12824,8962,2541,515,806,363.6482376793512
2016-11,2238,1337,901,848,109,15554,11722,2630,462,740,360.67699627105566
2016-12,1987,1158,829,742,108,11914,8579,2273,442,620,362.7287225113312
2017-01,1982,1192,790,712,132,3753,1878,1165,240,470,378.0759392486011
2017-02,1765,1053,712,597,82,4434,2128,1428,360,518,392.29386558412267
2017-03,1955,1182,773,704,105,5026,2307,1814,352,553,413.76880222841226
2017-04,1583,941,642,556,78,3717,1712,1477,181,347,447.9114877589454
2017-05,1770,1056,714,564,97,4836,2142,2010,268,416,463.5078577336642
